,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,CJ Chibhabha,MN Waller,RW Chakabva,H Masakadza,121.0,75.78999999999999
1,SC Williams,S Matsikenyeri,RW Chakabva,H Masakadza,102.0,88.53999999999999
2,R Mutumbami,DT Tiripano,RW Chakabva,H Masakadza,69.0,68.0
3,R Mutumbami,N Madziva,RW Chakabva,H Masakadza,59.0,58.29
4,R Mutumbami,CJ Chibhabha,RW Chakabva,H Masakadza,138.0,82.16
5,DT Tiripano,CJ Chibhabha,RW Chakabva,H Masakadza,129.0,77.88
6,CR Ervine,J Nyumbu,RW Chakabva,H Masakadza,93.0,64.19
7,CR Ervine,BRM Taylor,RW Chakabva,H Masakadza,142.33333330000002,106.06
8,CR Ervine,T Panyangara,RW Chakabva,H Masakadza,84.33333333,66.92
9,CR Ervine,N Madziva,RW Chakabva,H Masakadza,94.0,65.81
10,CR Ervine,SC Williams,RW Chakabva,H Masakadza,128.1666667,94.34
11,CR Ervine,Sikandar Raza,RW Chakabva,H Masakadza,103.66666670000001,91.67999999999999
12,CR Ervine,CJ Chibhabha,RW Chakabva,H Masakadza,106.6,89.67999999999999
13,CR Ervine,P Utseya,RW Chakabva,H Masakadza,114.0,67.77
14,CR Ervine,E Chigumbura,RW Chakabva,H Masakadza,108.5,85.14999999999999
15,CR Ervine,AG Cremer,RW Chakabva,H Masakadza,113.0,71.5
16,CR Ervine,CB Mpofu,RW Chakabva,H Masakadza,114.0,62.980000000000004
17,T Panyangara,J Nyumbu,RW Chakabva,H Masakadza,68.0,43.79
18,N Madziva,J Nyumbu,RW Chakabva,H Masakadza,63.0,42.68
19,SC Williams,J Nyumbu,RW Chakabva,H Masakadza,124.0,71.21
20,CJ Chibhabha,J Nyumbu,RW Chakabva,H Masakadza,93.0,66.55
21,E Chigumbura,J Nyumbu,RW Chakabva,H Masakadza,64.0,62.019999999999996
22,AG Cremer,J Nyumbu,RW Chakabva,H Masakadza,75.0,48.370000000000005
23,BRM Taylor,T Panyangara,RW Chakabva,H Masakadza,117.33333329999999,85.66
24,BRM Taylor,SF Mire,RW Chakabva,H Masakadza,156.5,100.52
25,BRM Taylor,SC Williams,RW Chakabva,H Masakadza,186.33333330000002,113.08
26,BRM Taylor,Sikandar Raza,RW Chakabva,H Masakadza,134.33333330000002,110.42
27,BRM Taylor,CJ Chibhabha,RW Chakabva,H Masakadza,159.0,108.42
28,BRM Taylor,TL Chatara,RW Chakabva,H Masakadza,118.0,83.28999999999999
29,BRM Taylor,T Mupariwa,RW Chakabva,H Masakadza,156.0,85.25999999999999
30,T Panyangara,N Madziva,RW Chakabva,H Masakadza,69.0,45.41
31,T Panyangara,SC Williams,RW Chakabva,H Masakadza,93.33333333,73.94
32,T Panyangara,CJ Chibhabha,RW Chakabva,H Masakadza,74.4,69.28
33,T Panyangara,P Utseya,RW Chakabva,H Masakadza,59.5,47.370000000000005
34,AG Cremer,T Panyangara,RW Chakabva,H Masakadza,68.33333333,51.099999999999994
35,T Panyangara,CB Mpofu,RW Chakabva,H Masakadza,59.5,42.58
36,SC Williams,SF Mire,RW Chakabva,H Masakadza,100.0,88.8
37,N Madziva,SC Williams,RW Chakabva,H Masakadza,125.0,72.83
38,N Madziva,CJ Chibhabha,RW Chakabva,H Masakadza,106.5,68.17
39,AG Cremer,N Madziva,RW Chakabva,H Masakadza,56.5,49.989999999999995
40,Sikandar Raza,SC Williams,RW Chakabva,H Masakadza,112.66666670000001,98.7
41,TP Kamungozi,SC Williams,RW Chakabva,H Masakadza,89.0,72.53999999999999
42,CJ Chibhabha,SC Williams,RW Chakabva,H Masakadza,112.6,96.7
43,TL Chatara,SC Williams,RW Chakabva,H Masakadza,93.33333333,71.57
44,SC Williams,E Chigumbura,RW Chakabva,H Masakadza,95.0,92.17
45,T Mupariwa,SC Williams,RW Chakabva,H Masakadza,99.5,73.53999999999999
46,AG Cremer,SC Williams,RW Chakabva,H Masakadza,87.0,78.52
47,CJ Chibhabha,Sikandar Raza,RW Chakabva,H Masakadza,99.16666667,94.03999999999999
48,P Utseya,Sikandar Raza,RW Chakabva,H Masakadza,77.66666667,72.13
49,AG Cremer,Sikandar Raza,RW Chakabva,H Masakadza,79.25,75.86
50,Sikandar Raza,CB Mpofu,RW Chakabva,H Masakadza,93.0,67.34
51,P Utseya,CJ Chibhabha,RW Chakabva,H Masakadza,95.33333333,70.13
52,CJ Chibhabha,E Chigumbura,RW Chakabva,H Masakadza,105.5,87.50999999999999
53,AG Cremer,CJ Chibhabha,RW Chakabva,H Masakadza,99.25,73.86
54,CJ Chibhabha,CB Mpofu,RW Chakabva,H Masakadza,85.0,65.34
55,R Mutumbami,MN Waller,DT Tiripano,RW Chakabva,67.0,51.64
56,R Mutumbami,N Madziva,MN Waller,RW Chakabva,57.0,41.93
57,R Mutumbami,CJ Chibhabha,MN Waller,RW Chakabva,136.0,65.8
58,R Mutumbami,P Utseya,MN Waller,RW Chakabva,54.0,43.89
59,R Mutumbami,MN Waller,E Chigumbura,RW Chakabva,64.0,61.269999999999996
60,R Mutumbami,AG Cremer,MN Waller,RW Chakabva,54.0,47.620000000000005
61,DT Tiripano,N Madziva,MN Waller,RW Chakabva,48.0,37.65
62,DT Tiripano,CJ Chibhabha,MN Waller,RW Chakabva,127.0,61.519999999999996
63,DT Tiripano,P Utseya,MN Waller,RW Chakabva,45.0,39.61
64,DT Tiripano,AG Cremer,MN Waller,RW Chakabva,45.0,43.34
65,LM Jongwe,CR Ervine,MN Waller,RW Chakabva,63.5,57.16
66,LM Jongwe,T Panyangara,MN Waller,RW Chakabva,43.5,36.760000000000005
67,LM Jongwe,MN Waller,SC Williams,RW Chakabva,79.0,64.18
68,LM Jongwe,MN Waller,E Chigumbura,RW Chakabva,86.0,54.989999999999995
69,LM Jongwe,MN Waller,RW Chakabva,T Muzarabani,40.5,33.86
70,LM Jongwe,AG Cremer,MN Waller,RW Chakabva,43.0,41.34
71,CR Ervine,T Panyangara,MN Waller,RW Chakabva,56.0,50.56
72,CR Ervine,MN Waller,SC Williams,RW Chakabva,91.5,77.98
73,CR Ervine,MN Waller,E Chigumbura,RW Chakabva,98.5,68.79
74,CR Ervine,MN Waller,RW Chakabva,T Muzarabani,53.0,47.66
75,CR Ervine,AG Cremer,MN Waller,RW Chakabva,55.5,55.14
76,T Panyangara,MN Waller,SC Williams,RW Chakabva,71.5,57.58
77,T Panyangara,MN Waller,E Chigumbura,RW Chakabva,78.5,48.39
78,T Panyangara,MN Waller,RW Chakabva,T Muzarabani,33.0,27.259999999999998
79,AG Cremer,T Panyangara,MN Waller,RW Chakabva,35.5,34.739999999999995
80,CJ Chibhabha,N Madziva,MN Waller,RW Chakabva,117.0,51.81
81,P Utseya,N Madziva,MN Waller,RW Chakabva,35.0,29.9
82,AG Cremer,N Madziva,MN Waller,RW Chakabva,35.0,33.629999999999995
83,Sikandar Raza,MN Waller,SC Williams,RW Chakabva,89.0,82.34
84,E Chigumbura,MN Waller,SC Williams,RW Chakabva,114.0,75.81
85,MN Waller,SC Williams,RW Chakabva,T Muzarabani,68.5,54.68000000000001
86,AG Cremer,MN Waller,SC Williams,RW Chakabva,71.0,62.16
87,Sikandar Raza,CJ Chibhabha,MN Waller,RW Chakabva,81.66666667,77.68
88,Sikandar Raza,MN Waller,E Chigumbura,RW Chakabva,82.33333333,73.15
89,P Utseya,CJ Chibhabha,MN Waller,RW Chakabva,114.0,53.769999999999996
90,CJ Chibhabha,MN Waller,E Chigumbura,RW Chakabva,97.33333333,71.15
91,AG Cremer,CJ Chibhabha,MN Waller,RW Chakabva,65.33333333,57.5
92,MN Waller,E Chigumbura,RW Chakabva,T Muzarabani,75.5,45.489999999999995
93,AG Cremer,MN Waller,E Chigumbura,RW Chakabva,66.0,52.97
94,AG Cremer,MN Waller,RW Chakabva,T Muzarabani,32.5,31.84
95,CR Ervine,BRM Taylor,RW Chakabva,S Matsikenyeri,110.0,97.79
96,CR Ervine,T Panyangara,RW Chakabva,S Matsikenyeri,77.0,58.650000000000006
97,CR Ervine,SC Williams,RW Chakabva,S Matsikenyeri,149.0,86.07000000000001
98,CR Ervine,Sikandar Raza,RW Chakabva,S Matsikenyeri,99.0,83.41
99,CR Ervine,TP Kamungozi,RW Chakabva,S Matsikenyeri,79.0,57.25
100,CR Ervine,TL Chatara,RW Chakabva,S Matsikenyeri,89.0,56.28
101,CR Ervine,E Chigumbura,RW Chakabva,S Matsikenyeri,94.0,76.88
102,BRM Taylor,SC Williams,RW Chakabva,S Matsikenyeri,134.0,104.81
103,T Panyangara,SC Williams,RW Chakabva,S Matsikenyeri,101.0,65.67
104,T Panyangara,TL Chatara,RW Chakabva,S Matsikenyeri,41.0,35.879999999999995
105,Sikandar Raza,SC Williams,RW Chakabva,S Matsikenyeri,123.0,90.43
106,TP Kamungozi,SC Williams,RW Chakabva,S Matsikenyeri,103.0,64.27
107,TL Chatara,SC Williams,RW Chakabva,S Matsikenyeri,113.0,63.3
108,SC Williams,E Chigumbura,RW Chakabva,S Matsikenyeri,118.0,83.9
109,TL Chatara,Sikandar Raza,RW Chakabva,S Matsikenyeri,63.0,60.64
110,TP Kamungozi,TL Chatara,RW Chakabva,S Matsikenyeri,43.0,34.48
111,TL Chatara,E Chigumbura,RW Chakabva,S Matsikenyeri,58.0,54.11
112,R Mutumbami,W Madhevere,RW Chakabva,TS Kamunhukamwe,102.0,93.13
113,R Mutumbami,DT Tiripano,W Madhevere,RW Chakabva,109.5,87.73
114,R Mutumbami,CT Mumba,W Madhevere,RW Chakabva,76.5,76.48
115,R Mutumbami,Sikandar Raza,W Madhevere,RW Chakabva,138.0,103.89
116,R Mutumbami,CT Mutombodzi,W Madhevere,RW Chakabva,95.0,87.53
117,R Mutumbami,DT Tiripano,RW Chakabva,TS Kamunhukamwe,90.0,59.13
118,R Mutumbami,CT Mumba,RW Chakabva,TS Kamunhukamwe,57.0,47.879999999999995
119,R Mutumbami,Sikandar Raza,RW Chakabva,TS Kamunhukamwe,118.5,75.28999999999999
120,R Mutumbami,CK Tshuma,RW Chakabva,TS Kamunhukamwe,55.0,46.129999999999995
121,R Mutumbami,CT Mutombodzi,RW Chakabva,TS Kamunhukamwe,75.5,58.93
122,R Mutumbami,CT Mumba,DT Tiripano,RW Chakabva,64.5,42.480000000000004
123,R Mutumbami,N Madziva,DT Tiripano,RW Chakabva,65.0,44.019999999999996
124,R Mutumbami,SC Williams,DT Tiripano,RW Chakabva,84.5,72.55
125,R Mutumbami,Sikandar Raza,DT Tiripano,RW Chakabva,109.0,69.89
126,R Mutumbami,CJ Chibhabha,DT Tiripano,RW Chakabva,144.0,67.89
127,R Mutumbami,P Utseya,DT Tiripano,RW Chakabva,62.0,45.980000000000004
128,R Mutumbami,E Chigumbura,DT Tiripano,RW Chakabva,72.0,63.36
129,R Mutumbami,CK Tshuma,DT Tiripano,RW Chakabva,62.5,40.730000000000004
130,R Mutumbami,CT Mutombodzi,DT Tiripano,RW Chakabva,83.0,53.53
131,R Mutumbami,AG Cremer,DT Tiripano,RW Chakabva,62.0,49.71000000000001
132,R Mutumbami,Sikandar Raza,BRM Taylor,RW Chakabva,103.5,100.42999999999999
133,R Mutumbami,Sikandar Raza,CT Mumba,RW Chakabva,93.0,58.64
134,R Mutumbami,CT Mumba,RW Chakabva,CK Tshuma,29.5,29.48
135,R Mutumbami,CT Mumba,CT Mutombodzi,RW Chakabva,50.0,42.28
136,R Mutumbami,N Madziva,Sikandar Raza,RW Chakabva,65.0,60.18000000000001
137,R Mutumbami,N Madziva,CJ Chibhabha,RW Chakabva,134.0,58.18000000000001
138,R Mutumbami,P Utseya,N Madziva,RW Chakabva,52.0,36.269999999999996
139,R Mutumbami,N Madziva,E Chigumbura,RW Chakabva,62.0,53.650000000000006
140,R Mutumbami,N Madziva,AG Cremer,RW Chakabva,52.0,40.0
141,R Mutumbami,Sikandar Raza,SC Williams,RW Chakabva,113.0,88.71
142,R Mutumbami,CJ Chibhabha,Sikandar Raza,RW Chakabva,144.0,84.05
143,R Mutumbami,Sikandar Raza,CK Tshuma,RW Chakabva,91.0,56.89
144,R Mutumbami,Sikandar Raza,CT Mutombodzi,RW Chakabva,111.5,69.69
145,R Mutumbami,P Utseya,CJ Chibhabha,RW Chakabva,131.0,60.14
146,R Mutumbami,CJ Chibhabha,E Chigumbura,RW Chakabva,141.0,77.52
147,R Mutumbami,AG Cremer,CJ Chibhabha,RW Chakabva,131.0,63.870000000000005
148,R Mutumbami,P Utseya,E Chigumbura,RW Chakabva,59.0,55.61
149,R Mutumbami,P Utseya,AG Cremer,RW Chakabva,49.0,41.96
150,R Mutumbami,CK Tshuma,CT Mutombodzi,RW Chakabva,48.0,40.53
151,DT Tiripano,W Madhevere,RW Chakabva,TS Kamunhukamwe,127.5,88.85
152,CT Mumba,W Madhevere,RW Chakabva,TS Kamunhukamwe,94.5,77.6
153,SC Williams,W Madhevere,RW Chakabva,TS Kamunhukamwe,114.5,107.66999999999999
154,Sikandar Raza,W Madhevere,RW Chakabva,TS Kamunhukamwe,156.0,105.00999999999999
155,CK Tshuma,W Madhevere,RW Chakabva,TS Kamunhukamwe,92.5,75.85
156,CT Mutombodzi,W Madhevere,RW Chakabva,TS Kamunhukamwe,113.0,88.65
157,DT Tiripano,CT Mumba,W Madhevere,RW Chakabva,102.0,72.2
158,DT Tiripano,SC Williams,W Madhevere,RW Chakabva,122.0,102.27
159,DT Tiripano,Sikandar Raza,W Madhevere,RW Chakabva,163.5,99.61
160,DT Tiripano,CK Tshuma,W Madhevere,RW Chakabva,100.0,70.45
161,DT Tiripano,CT Mutombodzi,W Madhevere,RW Chakabva,120.5,83.25
162,BRM Taylor,Sikandar Raza,W Madhevere,RW Chakabva,141.0,130.15
163,Sikandar Raza,CT Mumba,W Madhevere,RW Chakabva,130.5,88.36
164,CK Tshuma,CT Mumba,W Madhevere,RW Chakabva,67.0,59.2
165,CT Mutombodzi,CT Mumba,W Madhevere,RW Chakabva,87.5,72.0
166,Sikandar Raza,SC Williams,W Madhevere,RW Chakabva,150.5,118.43
167,CT Mutombodzi,SC Williams,W Madhevere,RW Chakabva,107.5,102.07000000000001
168,Sikandar Raza,CK Tshuma,W Madhevere,RW Chakabva,128.5,86.61
169,CT Mutombodzi,Sikandar Raza,W Madhevere,RW Chakabva,149.0,99.41000000000001
170,CT Mutombodzi,CK Tshuma,W Madhevere,RW Chakabva,85.5,70.25
171,DT Tiripano,BRM Taylor,RW Chakabva,TS Kamunhukamwe,93.0,85.38999999999999
172,DT Tiripano,CT Mumba,RW Chakabva,TS Kamunhukamwe,82.5,43.599999999999994
173,DT Tiripano,SC Williams,RW Chakabva,TS Kamunhukamwe,102.5,73.66999999999999
174,DT Tiripano,Sikandar Raza,RW Chakabva,TS Kamunhukamwe,144.0,71.00999999999999
175,DT Tiripano,CK Tshuma,RW Chakabva,TS Kamunhukamwe,80.5,41.849999999999994
176,DT Tiripano,CT Mutombodzi,RW Chakabva,TS Kamunhukamwe,101.0,54.65
177,BRM Taylor,Sikandar Raza,RW Chakabva,TS Kamunhukamwe,121.5,101.55000000000001
178,SC Williams,CT Mumba,RW Chakabva,TS Kamunhukamwe,69.5,62.419999999999995
179,Sikandar Raza,CT Mumba,RW Chakabva,TS Kamunhukamwe,111.0,59.76
180,CK Tshuma,CT Mumba,RW Chakabva,TS Kamunhukamwe,47.5,30.599999999999998
181,CT Mumba,CT Mutombodzi,RW Chakabva,TS Kamunhukamwe,68.0,43.4
182,Sikandar Raza,SC Williams,RW Chakabva,TS Kamunhukamwe,131.0,89.83000000000001
183,SC Williams,CK Tshuma,RW Chakabva,TS Kamunhukamwe,67.5,60.669999999999995
184,SC Williams,CT Mutombodzi,RW Chakabva,TS Kamunhukamwe,88.0,73.47
185,Sikandar Raza,CK Tshuma,RW Chakabva,TS Kamunhukamwe,109.0,58.01
186,Sikandar Raza,CT Mutombodzi,RW Chakabva,TS Kamunhukamwe,129.5,70.81
187,CK Tshuma,CT Mutombodzi,RW Chakabva,TS Kamunhukamwe,66.0,41.65
188,DT Tiripano,Sikandar Raza,BRM Taylor,RW Chakabva,129.0,96.14999999999999
189,DT Tiripano,BRM Taylor,CT Mutombodzi,RW Chakabva,86.0,79.79
190,DT Tiripano,SC Williams,CT Mumba,RW Chakabva,77.0,57.019999999999996
191,DT Tiripano,Sikandar Raza,CT Mumba,RW Chakabva,118.5,54.36
192,DT Tiripano,CT Mumba,RW Chakabva,CK Tshuma,55.0,25.2
193,DT Tiripano,CT Mumba,CT Mutombodzi,RW Chakabva,75.5,38.0
194,DT Tiripano,N Madziva,Sikandar Raza,RW Chakabva,56.0,55.900000000000006
195,DT Tiripano,N Madziva,CJ Chibhabha,RW Chakabva,125.0,53.900000000000006
196,DT Tiripano,P Utseya,N Madziva,RW Chakabva,43.0,31.99
197,DT Tiripano,N Madziva,E Chigumbura,RW Chakabva,53.0,49.370000000000005
198,DT Tiripano,N Madziva,AG Cremer,RW Chakabva,43.0,35.72
199,DT Tiripano,Sikandar Raza,SC Williams,RW Chakabva,138.5,84.42999999999999
200,DT Tiripano,SC Williams,CK Tshuma,RW Chakabva,75.0,55.269999999999996
201,DT Tiripano,SC Williams,CT Mutombodzi,RW Chakabva,95.5,68.07000000000001
202,DT Tiripano,CJ Chibhabha,Sikandar Raza,RW Chakabva,135.0,79.77
203,DT Tiripano,Sikandar Raza,CK Tshuma,RW Chakabva,116.5,52.61
204,DT Tiripano,Sikandar Raza,CT Mutombodzi,RW Chakabva,137.0,65.41
205,DT Tiripano,P Utseya,CJ Chibhabha,RW Chakabva,122.0,55.86
206,DT Tiripano,CJ Chibhabha,E Chigumbura,RW Chakabva,132.0,73.24
207,DT Tiripano,AG Cremer,CJ Chibhabha,RW Chakabva,122.0,59.59
208,DT Tiripano,P Utseya,AG Cremer,RW Chakabva,40.0,37.68
209,DT Tiripano,CK Tshuma,CT Mutombodzi,RW Chakabva,73.5,36.25
210,LM Jongwe,CR Ervine,SC Williams,RW Chakabva,82.5,78.07000000000001
211,LM Jongwe,CR Ervine,E Chigumbura,RW Chakabva,89.5,68.88
212,LM Jongwe,T Panyangara,SC Williams,RW Chakabva,62.5,57.67
213,LM Jongwe,T Panyangara,E Chigumbura,RW Chakabva,69.5,48.480000000000004
214,LM Jongwe,SC Williams,E Chigumbura,RW Chakabva,105.0,75.9
215,LM Jongwe,SC Williams,RW Chakabva,T Muzarabani,59.5,54.769999999999996
216,LM Jongwe,Sikandar Raza,E Chigumbura,RW Chakabva,87.0,73.24
217,LM Jongwe,CJ Chibhabha,E Chigumbura,RW Chakabva,75.0,71.24
218,LM Jongwe,E Chigumbura,RW Chakabva,T Muzarabani,66.5,45.58
219,LM Jongwe,AG Cremer,E Chigumbura,RW Chakabva,69.0,53.06
220,CR Ervine,T Panyangara,J Nyumbu,RW Chakabva,43.0,41.32000000000001
221,CR Ervine,SC Williams,J Nyumbu,RW Chakabva,99.0,68.74000000000001
222,CR Ervine,CJ Chibhabha,J Nyumbu,RW Chakabva,68.0,64.08
223,CR Ervine,AG Cremer,J Nyumbu,RW Chakabva,50.0,45.900000000000006
224,CR Ervine,T Panyangara,BRM Taylor,RW Chakabva,143.33333330000002,83.19000000000001
225,CR Ervine,SF Mire,BRM Taylor,RW Chakabva,172.0,98.05
226,CR Ervine,SC Williams,BRM Taylor,RW Chakabva,212.33333330000002,110.61
227,CR Ervine,Sikandar Raza,BRM Taylor,RW Chakabva,160.33333330000002,107.95
228,CR Ervine,TP Kamungozi,BRM Taylor,RW Chakabva,97.0,81.79
229,CR Ervine,CJ Chibhabha,BRM Taylor,RW Chakabva,174.5,105.95
230,CR Ervine,TL Chatara,BRM Taylor,RW Chakabva,144.0,80.82000000000001
231,CR Ervine,BRM Taylor,E Chigumbura,RW Chakabva,112.0,101.42
232,CR Ervine,T Mupariwa,BRM Taylor,RW Chakabva,171.5,82.79
233,CR Ervine,T Panyangara,N Madziva,RW Chakabva,44.0,42.94
234,CR Ervine,T Panyangara,SC Williams,RW Chakabva,102.625,71.47
235,CR Ervine,T Panyangara,Sikandar Raza,RW Chakabva,79.75,68.81
236,CR Ervine,T Panyangara,TP Kamungozi,RW Chakabva,64.0,42.650000000000006
237,CR Ervine,T Panyangara,CJ Chibhabha,RW Chakabva,75.14285714,66.81
238,CR Ervine,T Panyangara,TL Chatara,RW Chakabva,50.33333333,41.68000000000001
239,CR Ervine,T Panyangara,P Utseya,RW Chakabva,88.5,44.900000000000006
240,CR Ervine,T Panyangara,E Chigumbura,RW Chakabva,82.66666667,62.28
241,CR Ervine,T Panyangara,T Mupariwa,RW Chakabva,47.5,43.650000000000006
242,CR Ervine,T Panyangara,AG Cremer,RW Chakabva,63.2,48.63000000000001
243,CR Ervine,T Panyangara,RW Chakabva,CB Mpofu,88.5,40.11000000000001
244,CR Ervine,SC Williams,SF Mire,RW Chakabva,115.5,86.33000000000001
245,CR Ervine,N Madziva,SC Williams,RW Chakabva,100.0,70.36
246,CR Ervine,N Madziva,CJ Chibhabha,RW Chakabva,69.0,65.7
247,CR Ervine,N Madziva,AG Cremer,RW Chakabva,51.0,47.519999999999996
248,CR Ervine,Sikandar Raza,SC Williams,RW Chakabva,121.5,96.23
249,CR Ervine,TP Kamungozi,SC Williams,RW Chakabva,136.0,70.07000000000001
250,CR Ervine,CJ Chibhabha,SC Williams,RW Chakabva,112.57142859999999,94.23
251,CR Ervine,TL Chatara,SC Williams,RW Chakabva,119.33333329999999,69.10000000000001
252,CR Ervine,P Utseya,SC Williams,RW Chakabva,88.5,72.32000000000001
253,CR Ervine,SC Williams,E Chigumbura,RW Chakabva,115.83333329999999,89.7
254,CR Ervine,SC Williams,RW Chakabva,T Muzarabani,72.0,68.57000000000001
255,CR Ervine,T Mupariwa,SC Williams,RW Chakabva,115.0,71.07000000000001
256,CR Ervine,AG Cremer,SC Williams,RW Chakabva,88.6,76.05
257,CR Ervine,SC Williams,RW Chakabva,CB Mpofu,88.5,67.53
258,CR Ervine,TP Kamungozi,Sikandar Raza,RW Chakabva,86.0,67.41
259,CR Ervine,CJ Chibhabha,Sikandar Raza,RW Chakabva,93.57142857,91.57000000000001
260,CR Ervine,TL Chatara,Sikandar Raza,RW Chakabva,67.33333333,66.44
261,CR Ervine,P Utseya,Sikandar Raza,RW Chakabva,122.0,69.66
262,CR Ervine,Sikandar Raza,E Chigumbura,RW Chakabva,103.0,87.04
263,CR Ervine,AG Cremer,Sikandar Raza,RW Chakabva,83.2,73.39
264,CR Ervine,Sikandar Raza,RW Chakabva,CB Mpofu,122.0,64.86999999999999
265,CR Ervine,TL Chatara,TP Kamungozi,RW Chakabva,76.0,40.28
266,CR Ervine,TP Kamungozi,E Chigumbura,RW Chakabva,81.0,60.879999999999995
267,CR Ervine,P Utseya,CJ Chibhabha,RW Chakabva,114.0,67.66
268,CR Ervine,CJ Chibhabha,E Chigumbura,RW Chakabva,100.8,85.04
269,CR Ervine,AG Cremer,CJ Chibhabha,RW Chakabva,80.6,71.39
270,CR Ervine,CJ Chibhabha,RW Chakabva,CB Mpofu,114.0,62.87
271,CR Ervine,TL Chatara,E Chigumbura,RW Chakabva,91.0,59.91
272,CR Ervine,T Mupariwa,TL Chatara,RW Chakabva,42.5,41.28
273,CR Ervine,P Utseya,E Chigumbura,RW Chakabva,87.5,63.129999999999995
274,CR Ervine,P Utseya,AG Cremer,RW Chakabva,74.5,49.480000000000004
275,CR Ervine,P Utseya,RW Chakabva,CB Mpofu,72.0,40.96
276,CR Ervine,E Chigumbura,RW Chakabva,T Muzarabani,79.0,59.379999999999995
277,CR Ervine,AG Cremer,E Chigumbura,RW Chakabva,79.0,66.86
278,CR Ervine,E Chigumbura,RW Chakabva,CB Mpofu,87.5,58.339999999999996
279,CR Ervine,AG Cremer,RW Chakabva,CB Mpofu,74.5,44.690000000000005
280,T Panyangara,SC Williams,J Nyumbu,RW Chakabva,74.0,48.34
281,N Madziva,SC Williams,J Nyumbu,RW Chakabva,69.0,47.230000000000004
282,CJ Chibhabha,SC Williams,J Nyumbu,RW Chakabva,99.0,71.10000000000001
283,E Chigumbura,SC Williams,J Nyumbu,RW Chakabva,70.0,66.57000000000001
284,AG Cremer,SC Williams,J Nyumbu,RW Chakabva,81.0,52.92
285,AG Cremer,CJ Chibhabha,J Nyumbu,RW Chakabva,50.0,48.260000000000005
286,BRM Taylor,T Panyangara,SF Mire,RW Chakabva,158.5,77.65
287,BRM Taylor,T Panyangara,SC Williams,RW Chakabva,187.33333330000002,90.21
288,BRM Taylor,T Panyangara,Sikandar Raza,RW Chakabva,135.33333330000002,87.55
289,BRM Taylor,T Panyangara,CJ Chibhabha,RW Chakabva,161.0,85.55
290,BRM Taylor,T Panyangara,TL Chatara,RW Chakabva,119.0,60.42
291,BRM Taylor,T Panyangara,T Mupariwa,RW Chakabva,158.0,62.39
292,BRM Taylor,Sikandar Raza,CT Mumba,RW Chakabva,96.0,84.9
293,BRM Taylor,SC Williams,SF Mire,RW Chakabva,226.0,105.07000000000001
294,BRM Taylor,Sikandar Raza,SF Mire,RW Chakabva,173.0,102.41000000000001
295,BRM Taylor,CJ Chibhabha,SF Mire,RW Chakabva,165.5,100.41000000000001
296,BRM Taylor,TL Chatara,SF Mire,RW Chakabva,153.5,75.28
297,BRM Taylor,T Mupariwa,SF Mire,RW Chakabva,162.5,77.25
298,BRM Taylor,Sikandar Raza,SC Williams,RW Chakabva,169.0,114.97000000000001
299,BRM Taylor,TP Kamungozi,SC Williams,RW Chakabva,121.0,88.81
300,BRM Taylor,CJ Chibhabha,SC Williams,RW Chakabva,228.5,112.97000000000001
301,BRM Taylor,TL Chatara,SC Williams,RW Chakabva,188.0,87.84
302,BRM Taylor,SC Williams,E Chigumbura,RW Chakabva,136.0,108.44
303,BRM Taylor,T Mupariwa,SC Williams,RW Chakabva,225.5,89.81
304,BRM Taylor,CJ Chibhabha,Sikandar Raza,RW Chakabva,175.5,110.31
305,BRM Taylor,TL Chatara,Sikandar Raza,RW Chakabva,136.0,85.18
306,BRM Taylor,T Mupariwa,Sikandar Raza,RW Chakabva,172.5,87.15
307,BRM Taylor,Sikandar Raza,CK Tshuma,RW Chakabva,94.0,83.15
308,BRM Taylor,Sikandar Raza,CT Mutombodzi,RW Chakabva,114.5,95.95
309,BRM Taylor,TL Chatara,TP Kamungozi,RW Chakabva,61.0,59.019999999999996
310,BRM Taylor,TL Chatara,CJ Chibhabha,RW Chakabva,156.0,83.18
311,BRM Taylor,T Mupariwa,CJ Chibhabha,RW Chakabva,165.0,85.15
312,BRM Taylor,T Mupariwa,TL Chatara,RW Chakabva,153.0,60.019999999999996
313,T Panyangara,SC Williams,SF Mire,RW Chakabva,102.0,65.93
314,T Panyangara,T Mupariwa,SF Mire,RW Chakabva,38.5,38.11
315,T Panyangara,N Madziva,SC Williams,RW Chakabva,75.0,49.959999999999994
316,T Panyangara,SC Williams,RW Chakabva,Sikandar Raza,90.375,75.83
317,TP Kamungozi,T Panyangara,SC Williams,RW Chakabva,88.0,49.67
318,T Panyangara,CJ Chibhabha,SC Williams,RW Chakabva,83.85714286,73.83
319,T Panyangara,TL Chatara,SC Williams,RW Chakabva,94.33333333,48.7
320,T Panyangara,SC Williams,E Chigumbura,RW Chakabva,78.83333333,69.3
321,T Panyangara,SC Williams,RW Chakabva,T Muzarabani,52.0,48.17
322,T Panyangara,T Mupariwa,SC Williams,RW Chakabva,101.5,50.67
323,T Panyangara,Sikandar Raza,P Utseya,RW Chakabva,67.5,49.260000000000005
324,T Panyangara,T Mupariwa,Sikandar Raza,RW Chakabva,48.5,48.010000000000005
325,T Panyangara,Sikandar Raza,RW Chakabva,CB Mpofu,67.5,44.470000000000006
